HITId,Input.utterance,Answer.object
33EEIIWHK7Q9CP9XVJWSPQZPIVFQVG,cabinet next to the open one near the fridge,kitchen cabinet
3MYASTQBG7UNI89B4YWYJ4TIIOCDQ5,The door in the middle of the room.,bathroom stall door
3J6BHNX0U9BATH2TGNQ4JNT3XMLKN1,You are looking for the larger curtain next to the elliptical exercise machine.,large curtain
3KLL7H3EGDKWZWAUCT9YGC7OR8JHVB,the books on the top of the shelf to the left,top of shelf
39O6Z4JLX2GTLMA9HXRKJYVIFY2VXI,The chair closest to the whiteboard,office chair
3NSCTNUR2Z60RFN10WHTVSQL1PS5AI,This chair is pushed a bit further from the round table.,armchair
3X2YVV51PUNYAAPL0EB9ARAVHSPW11,The shoe nearest the blue bin.,shoes
36KM3FWE3RVJD632WNZX46S4J9B708,The bottom kitchen cabinet to the right of the sink.,kitchen cabinets
3Z33IC0JC053KQSBEHL63V908VBV9Z,The couch with 2 seats that's on the side by itself.,two seats
36JW4WBR06373ZO4CE4UYQ423EVFHL,The chair of the larger of the desks,office chair
36JW4WBR06373ZO4CE4UYQ423EVFHL,The chair of the larger of the desks,office chair
3TX9T2ZCB9KV56AT8PK12LU7U72WZQ,The chair furthest from the door.,office chair
3TX9T2ZCB9KV56AT8PK12LU7U72WZQ,The chair furthest from the door.,office chair
3M0556243S3ZDVAFFCZ73A1YPQ4FNU,The chair is closest to the windows.,armchair
3VADEH0UHCG8KLRE1BCYEYP8EVZSPM,This is a prolonged top kitchen cabinet above microwave,kitchen cabinets
3VADEH0UHCG8KLRE1BCYEYP8EVZSPM,This is a prolonged top kitchen cabinet above microwave,kitchen cabinets
3VADEH0UHCG8KLRE1BCYEYP8EVZSPM,This is a prolonged top kitchen cabinet above microwave,kitchen cabinets
351S7I5UG9FFIXWBY2QSI8TQIXLNJ5,The table that is closest to the window.,coffee table
351S7I5UG9FFIXWBY2QSI8TQIXLNJ5,The table that is closest to the window.,coffee table
3OPLMF3EU56LDNKB1N25YN6IMMQNL7,The top cabinet next to door,cabinets
33NKDW9FFX1XMD49QGWFT67TURMXCL,The chair closest to the round table,office chair
3X878VYTIE1AAAISZ5II7DF8PB0F7K,The grey-brown chair next to the blue chair.,greybrown chair
3S829FDFT2K7R5ANQCRQDCPBFRYXDL,the chair that is in front of the monitors that are on,office chair
3S829FDFT2K7R5ANQCRQDCPBFRYXDL,the chair that is in front of the monitors that are on,office chair
3VMHWJRYHVZ4PPOJHIMG1CSWR4EFXE,The bookshelf in the middle of the room.,middle of room
31KPKEKW4AW6FI6S94BD98E02Z2B0Y,the chair furthest from the table,office chair
3P7QK0GJ3T49TQCMU5VUEEEIQ082ZF,The wooden and cloth couch closest to the white mini-fridge.,minifridge
